PCF-V30M Anti-TTR,dpcf-V30M Anti-TTR,dr-V30M Anti-TTR
0.009106028761868418,0.0004936238199475581,1.0
0.12299028416709215,0.006667114224504026,6.128205128205129
0.294195614736618,0.015947891990658745,11.256410256410257
0.2072082091117757,0.011232438462588411,16.384615384615387
0.12992144156290347,0.007042841611255233,21.512820512820515
0.10061208443373744,0.005454026420280857,26.641025641025642
0.04807213611371646,0.0026059165946037206,31.769230769230774
0.027617878444091352,0.0014971227318660968,36.8974358974359
0.017570014316629214,0.0009524434646885781,42.02564102564103
0.013477719618133124,0.0007306064604083173,47.15384615384616
0.010365374511481808,0.0005618910169678464,52.282051282051285
0.005753802227780051,0.00031190477310954486,57.410256410256416
0.002958647380136503,0.0001603837259746533,62.53846153846155
0.00215010330243632,0.00011655379454486864,67.66666666666667
0.0014329797495071012,7.767962921677092e-05,72.7948717948718
0.0018462310550521933,0.00010008134717484468,77.92307692307693
0.0005423698407855997,2.9401035251946997e-05,83.05128205128206
0.0002634157632984671,1.4279363563871645e-05,88.17948717948718
0.0005330233875278738,2.889437838969772e-05,93.30769230769232
0.00047450810038816225,2.5722354632844794e-05,98.43589743589745
3.028231793108869e-05,1.6415579002567658e-06,103.56410256410257
0.0001701937808719294,9.22594321216283e-06,108.69230769230771
0.00022052374242057508,1.1954253052506295e-05,113.82051282051283
0.00014286643019932076,7.74456954414339e-06,118.94871794871796
0.00022190226271144435,1.2028980518194035e-05,124.0769230769231
0.00023274706444519283,1.2616860547829306e-05,129.2051282051282
0.00015990452096368638,8.668178250821105e-06,134.33333333333334
0.000211356791471015,1.1457326734423231e-05,139.46153846153848
0.00015619715326383035,8.46720754736622e-06,144.5897435897436
8.546645507597827e-05,4.633005137063105e-06,149.71794871794873
8.576117094257152e-05,4.648981231107098e-06,154.84615384615387
0.00016095231277456662,8.724977434056976e-06,159.97435897435898
0.00012042880974988161,6.528260634252245e-06,165.10256410256412
0.00011093989640941111,6.013881229929639e-06,170.23076923076925
0.00014976895763088366,8.118744944547218e-06,175.35897435897436
0.00011592360289233443,6.28404029662396e-06,180.4871794871795
0.00011824955894467094,6.410126798392147e-06,185.61538461538464
0.00018235966472059914,9.885437072270785e-06,190.74358974358975
0.00011530891094885232,6.2507187913698555e-06,195.8717948717949
0.00011700001067332717,6.342390707606616e-06,201.0
